,Country,Deaths / million,Deaths,Cases
213,Mali,32,743,33152
214,Togo,32,290,39522
215,Ivory Coast,29,835,88338
216,Uzbekistan,29,1016,174123
217,Eritrea,27,103,10189
218,Bhutan,26,21,62697
219,Central African Republic,20,113,15367
220,Burkina Faso,17,396,22056
221,Democratic Republic of the Congo,14,1468,98863
222,Sierra Leone,14,125,7766
223,Nigeria,14,3155,286572
224,Tanzania,12,846,43078
225,South Sudan,12,138,18368
226,Tajikistan,12,125,17786
227,Benin,12,163,28036
228,Niger,12,315,9515
229,Chad,10,194,7698
230,Burundi,1,15,54366
231,North Korea,0,6,1
232,Pitcairn Islands,—,—,4
233,Falkland Islands,—,—,1923
234,Niue,—,—,887
235,Turkmenistan,—,0,0
236,Vatican City,—,0,26
237,Tokelau,—,0,80
238,"Saint Helena, Ascension and Tristan da Cunha",—,—,2166
